accession	full_path
GCF_003850225.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/850/225/GCF_003850225.1_IASCAAS_PekingDuck_PBH1.5/GCF_003850225.1_IASCAAS_PekingDuck_PBH1.5_genomic.gff.gz
GCF_028408465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/408/465/GCF_028408465.1_idAnaLude1.1/GCF_028408465.1_idAnaLude1.1_genomic.gff.gz
GCF_027943255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/943/255/GCF_027943255.1_idAnaObli1_1.0/GCF_027943255.1_idAnaObli1_1.0_genomic.gff.gz
GCA_903995115.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/995/115/GCA_903995115.1_Adeanei_nanopore_chromosomes//GCA_903995115.1_Adeanei_nanopore_chromosomes_genomic.gff.gz
GCF_013347855.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/347/855/GCF_013347855.1_fAngAng1.pri/GCF_013347855.1_fAngAng1.pri_genomic.gff.gz
GCA_018320845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/320/845/GCA_018320845.1_ANANG_Geno_1.0//GCA_018320845.1_ANANG_Geno_1.0_genomic.gff.gz
GCF_018555375.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/555/375/GCF_018555375.3_ASM1855537v3/GCF_018555375.3_ASM1855537v3_genomic.gff.gz
GCA_029783415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/783/415/GCA_029783415.1_ASM2978341v1//GCA_029783415.1_ASM2978341v1_genomic.gff.gz
GCA_034509755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/509/755/GCA_034509755.1_ASM3450975v1//GCA_034509755.1_ASM3450975v1_genomic.gff.gz
GCA_040104375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/104/375/GCA_040104375.1_ASM4010437v1//GCA_040104375.1_ASM4010437v1_genomic.gff.gz
GCF_035594765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/594/765/GCF_035594765.1_rAnoCar3.1.pri/GCF_035594765.1_rAnoCar3.1.pri_genomic.gff.gz
GCF_000090745.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/745/GCF_000090745.2_AnoCar2.0//GCF_000090745.2_AnoCar2.0_genomic.gff.gz
